□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2023-09-05 ~ 2024-09-04,,,,,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 인천광역시,,,,,,,,,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액,동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,인천광역시 연수구 동춘동,1131-1,1131,1,연수서해그랑블1단지,70.75,202409,3,"44,300",-,6,개인,개인,2017,봉재산로 20,-,중개거래,인천 연수구,-
2,인천광역시 미추홀구 용현동,지구BL 2,2,0,엘에이치미추홀퍼스트,51.81,202409,3,"18,000",-,12,개인,개인,2018,낙섬동로 135,-,중개거래,인천 미추홀구,-
3,인천광역시 미추홀구 주안동,632-1,632,1,센트라스,49.95,202409,3,"22,000",-,14,개인,개인,2018,한나루로573번길 9,-,중개거래,인천 서구,-
4,인천광역시 연수구 연수동,533,533,0,연수주공2차,41.3,202409,3,"15,500",-,1,개인,개인,1992,원인재로 315,-,직거래,-,-
5,인천광역시 미추홀구 주안동,1286,1286,0,태평,57.87,202409,3,"8,000",-,6,개인,개인,1989,승학길 90,-,중개거래,인천 미추홀구,-
6,인천광역시 부평구 산곡동,519,519,0,쌍용더플래티넘부평,59.96,202409,3,"49,500",-,11,개인,개인,2022,원적로287번길 25,-,중개거래,인천 부평구,-
7,인천광역시 부평구 부평동,415-8,415,8,인스테이션,23.78,202409,3,"8,250",-,15,개인,개인,2012,주부토로 48,-,중개거래,인천 부평구,-
8,인천광역시 계양구 동양동,582,582,0,한진해모로,59.61,202409,3,"30,500",-,1,개인,개인,2006,동양로 100,20240903,중개거래,인천 계양구,-
9,인천광역시 서구 가좌동,627,627,0,가재울역트루엘에코시티,84.98,202409,2,"59,000",-,27,개인,개인,2024,열우물로240번길 20,-,중개거래,인천 서구,-
10,인천광역시 서구 불로동,803-1,803,1,검단대광로제비앙센트럴포레,61.8494,202409,2,"37,000",-,17,개인,개인,2022,검단로768번길 46,-,중개거래,인천 서구,-
11,인천광역시 계양구 방축동,Feb-37,37,2,아주,59.95,202409,2,"19,500",-,4,개인,개인,1991,장제로995번길 44,-,중개거래,인천 계양구,-
12,인천광역시 서구 가정동,597-2,597,2,엘에이치웨스턴블루힐,84.99,202409,2,"48,900",-,5,개인,개인,2015,봉오재2로 37,-,중개거래,인천 서구,-
13,인천광역시 서구 가좌동,611,611,0,"인천가좌두산위브트레지움1,2단지",51.57,202409,2,"28,900",-,6,개인,개인,2017,여우재로 136,-,중개거래,인천 서구,-
14,인천광역시 중구 중산동,1881-1,1881,1,하늘도시우미린1단지,59.9,202409,2,"28,700",-,6,개인,개인,2012,은하수로 351,-,중개거래,인천 중구,-
15,인천광역시 중구 중산동,Feb-11,1911,2,영종국제도시한신더휴스카이파크,59.9384,202409,2,"32,000",-,21,개인,개인,2019,은하수로 229,-,중개거래,인천 중구,-
16,인천광역시 연수구 송도동,03월 19일,19,3,송도더샵그린워크3차(18-1블럭),115.14,202409,2,"110,000",-,10,개인,개인,2015,컨벤시아대로130번길 100,-,중개거래,인천 연수구,-
17,인천광역시 동구 송림동,가-,0,0,엘에이치브리즈힐,59.99,202409,2,"31,000",-,3,개인,개인,2021,송림로162번길 9,-,중개거래,인천 동구,-
18,인천광역시 남동구 간석동,935,935,0,풍림아이원,84.956,202409,2,"37,000",-,4,개인,개인,2004,석산로 35,-,중개거래,인천 미추홀구,-
19,인천광역시 계양구 계산동,348-2,348,2,하나,42.75,202409,2,"15,700",-,6,개인,개인,1987,경명대로1114번길 6,-,중개거래,인천 계양구,-
20,인천광역시 남동구 서창동,699,699,0,서창퍼스트뷰(7단지),59.9,202409,2,"32,900",-,7,개인,개인,2012,서창남순환로 190-15,-,중개거래,인천 남동구,-
21,인천광역시 계양구 효성동,677,677,0,e편한세상 계양 더프리미어,59.8883,202409,2,"49,500",-,20,개인,개인,2021,효서로 145,-,중개거래,인천 계양구,-
22,인천광역시 남동구 만수동,1113,1113,0,주공11단지,49.65,202409,2,"16,100",-,15,개인,개인,1997,만수서로105번길 40-18,-,중개거래,인천 남동구,-
23,인천광역시 남동구 구월동,1554,1554,0,구월아시아드선수촌8단지,74.93,202409,2,"42,600",-,8,개인,개인,2015,선수촌로 8,-,중개거래,인천 남동구,-
24,인천광역시 남동구 만수동,1114,1114,0,벽산,84.93,202409,1,"31,500",-,24,개인,개인,2000,호구포로 924,-,중개거래,인천 남동구,-
25,인천광역시 남동구 논현동,603-1,603,1,휴먼시아동산마을,84.6,202409,1,"38,000",-,19,개인,개인,2006,소래역로 119,-,중개거래,인천 남동구,-
26,인천광역시 남동구 구월동,1510,1510,0,구월아시아드선수촌센트럴자이,84.93,202409,1,"61,500",-,24,개인,개인,2015,선수촌로 55,-,중개거래,"인천 남동구, 충남 천안시 서북구",-
